time,temperature,humidity,wind_speed,rain_rate,electricity_consumption
2017-01-01 00:00:00+01:00,6,88,2,0,24635
2017-01-01 01:00:00+01:00,6,95,1,0,23627
2017-01-01 02:00:00+01:00,6,88,2,0,22143
2017-01-01 03:00:00+01:00,4,95,2,0,20849
2017-01-01 04:00:00+01:00,5,95,2,0,19862
2017-01-01 05:00:00+01:00,4,95,3,0,19486
2017-01-01 06:00:00+01:00,3,95,1,0,19585
2017-01-01 07:00:00+01:00,3,95,1,0,19925
2017-01-01 08:00:00+01:00,3,95,2,0,19834
2017-01-01 09:00:00+01:00,3,95,2,0,20472
2017-01-01 10:00:00+01:00,5,95,3,0,22235
2017-01-01 11:00:00+01:00,8,82,1,0,23651
2017-01-01 12:00:00+01:00,12,61,1,0,24298
2017-01-01 13:00:00+01:00,13,57,1,0,24889
2017-01-01 14:00:00+01:00,14,45,5,0,24914
2017-01-01 15:00:00+01:00,15,42,6,0,23661
2017-01-01 16:00:00+01:00,15,42,6,0,23206
2017-01-01 17:00:00+01:00,15,46,5,0,23774
2017-01-01 18:00:00+01:00,14,45,4,0,26493
2017-01-01 19:00:00+01:00,11,57,3,0,27902
2017-01-01 20:00:00+01:00,10,61,4,0,28917
2017-01-01 21:00:00+01:00,8,65,4,0,29414
2017-01-01 22:00:00+01:00,6,76,3,0,28852
2017-01-01 23:00:00+01:00,5,75,3,0,26591
2017-01-02 00:00:00+01:00,3,81,2,0,27887
2017-01-02 01:00:00+01:00,3,81,2,0,25832
2017-01-02 02:00:00+01:00,2,88,2,0,24632
2017-01-02 03:00:00+01:00,2,88,3,0,24014
2017-01-02 04:00:00+01:00,1,70,2,0,23891
2017-01-02 05:00:00+01:00,1,70,3,0,24569
2017-01-02 06:00:00+01:00,1,81,3,0,27217
2017-01-02 07:00:00+01:00,1,70,3,0,32050
2017-01-02 08:00:00+01:00,1,70,4,0,34815
2017-01-02 09:00:00+01:00,1,81,4,0,35648
2017-01-02 10:00:00+01:00,3,81,2,0,35767
2017-01-02 11:00:00+01:00,6,65,2,0,35641
2017-01-02 12:00:00+01:00,9,52,2,0,35379
2017-01-02 13:00:00+01:00,10,52,2,0,35123
2017-01-02 14:00:00+01:00,12,41,2,0,33967
2017-01-02 15:00:00+01:00,13,45,2,0,33348
2017-01-02 16:00:00+01:00,13,49,2,0,32977
2017-01-02 17:00:00+01:00,13,49,2,0,32923
2017-01-02 18:00:00+01:00,12,61,2,0,34035
2017-01-02 19:00:00+01:00,10,71,2,0,36020
2017-01-02 20:00:00+01:00,9,71,2,0,36579
2017-01-02 21:00:00+01:00,9,76,2,0,35807
2017-01-02 22:00:00+01:00,7,88,2,0,33114
2017-01-02 23:00:00+01:00,6,88,2,0,30046
2017-01-03 00:00:00+01:00,6,88,2,0,26581
2017-01-03 01:00:00+01:00,6,88,2,0,24891
2017-01-03 02:00:00+01:00,6,88,2,0,24116
2017-01-03 03:00:00+01:00,5,95,2,0,23846
2017-01-03 04:00:00+01:00,4,95,2,0,23701
2017-01-03 05:00:00+01:00,3,95,2,0,24332
2017-01-03 06:00:00+01:00,2,95,1,0,26836
2017-01-03 07:00:00+01:00,2,95,2,0,30921
2017-01-03 08:00:00+01:00,2,95,1,0,33153
2017-01-03 09:00:00+01:00,2,95,1,0,34308
2017-01-03 10:00:00+01:00,4,95,2,0,34589
2017-01-03 11:00:00+01:00,7,76,2,0,34229
2017-01-03 12:00:00+01:00,9,71,2,0,33873
2017-01-03 13:00:00+01:00,13,49,3,0,33592
2017-01-03 14:00:00+01:00,15,39,1,0,32484
2017-01-03 15:00:00+01:00,16,39,2,0,31687
